Palm Beach Gardens Medical Center,Palm Beach Gardens,FL,3,17540,Average,Average
Cape Canaveral Hospital,Cocoa Beach,FL,4,17182,Average,Average
Memorial Hospital Jacksonville,Jacksonville,FL,1,19351,Average,Higher
St Petersburg General Hospital,Saint Petersburg,FL,2,21053,Average,Higher
Larkin Community Hospital,South Miami,FL,1,17567,Average,Average
Coral Gables Hospital,Coral Gables,FL,3,18436,Average,Average
Palmetto General Hospital,Hialeah,FL,3,19762,Worse,Higher
Northwest Medical Center,Margate,FL,2,19138,Average,Higher
Medical Center Of Trinity,Trinity,FL,2,19085,Worse,Higher
Broward Health Imperial Point,Fort Lauderdale,FL,2,17270,Average,Average
North Florida Regional Medical Center,Gainesville,FL,2,15963,Average,Lower
Memorial Hospital Of Tampa,Tampa,FL,4,16812,Average,Average
Kendall Regional Medical Center,Miami,FL,2,19114,Average,Higher
Florida Hospital Dade City,Dade City,FL,3,17382,Average,Average
Ocala Regional Medical Center,Ocala,FL,2,18378,Worse,Higher
Blake Medical Center,Bradenton,FL,2,16826,Average,Average
Steward Sebastian River Medical Center,Sebastian,FL,2,17121,Average,Average
Gulf Coast Medical Center Lee Mem Health System,Fort Myers,FL,3,18619,Average,Higher
Fort Walton Beach Medical Center,Fort Walton Beach,FL,2,17724,Worse,Average
University Hospital And Medical Center,Tamarac,FL,2,19072,Average,Higher
Orange Park Medical Center,Orange Park,FL,2,20928,Average,Higher
Westside Regional Medical Center,Plantation,FL,1,18452,Average,Average
Memorial Hospital Pembroke,Pembroke Pines,FL,2,15940,Better,Average
West Florida Hospital,Pensacola,FL,3,18649,Average,Higher
Putnam Community Medical Center,Palatka,FL,2,19926,Average,Higher
Fawcett Memorial Hospital,Port Charlotte,FL,3,20028,Average,Higher
Northside Hospital,Saint Petersburg,FL,2,20882,Average,Higher
Gulf Coast Regional Medical Center,Panama City,FL,3,20766,Average,Higher
Brandon Regional Hospital,Brandon,FL,2,18521,Average,Higher
Cape Coral Hospital,Cape Coral,FL,3,17648,Average,Average
Lawnwood Regional Medical Center & Heart Institute,Fort Pierce,FL,1,20181,Average,Higher
Largo Medical Center,Largo,FL,1,19722,Worse,Higher
Bayfront Health Seven Rivers,Crystal River,FL,1,17291,Worse,Average
Raulerson Hospital,Okeechobee,FL,2,17764,Worse,Average
Jupiter Medical Center,Jupiter,FL,5,17001,Average,Average
Capital Regional Medical Center,Tallahassee,FL,2,17557,Average,Average
Tampa Community Hospital,Tampa,FL,3,18663,Average,Average
Regional Medical Center Bayonet Point,Hudson,FL,2,18915,Average,Higher
Delray Medical Center,Delray Beach,FL,2,18842,Average,Higher
South Bay Hospital,Sun City Center,FL,2,18031,Average,Average
St Lucie Medical Center,Port Saint Lucie,FL,1,18286,Average,Average
Oak Hill Hospital,Brooksville,FL,2,19316,Worse,Higher
Mease Countryside Hospital,Safety Harbor,FL,3,18326,Worse,Higher
Gulf Breeze Hospital,Gulf Breeze,FL,5,17231,Better,Average
Englewood Community Hospital,Englewood,FL,3,17698,Average,Average
West Boca Medical Center,Boca Raton,FL,1,16588,Average,Average
Palms West Hospital,Loxahatchee,FL,2,18508,Average,Average
Wellington Regional Medical Center Llc,Wellington,FL,1,18728,Average,Average
Broward Health Coral Springs,Coral Springs,FL,3,18506,Average,Average
Memorial Hospital West,Pembroke Pines,FL,3,17518,Better,Average
Westchester General Hospital,Miami,FL,2,16926,Average,Average
Memorial Hospital Miramar,Miramar,FL,4,16654,Average,Average
Physicians Regional Medical Center - Pine Ridge,Naples,FL,2,15648,Average,Lower
Good Samaritan Medical Center,West Palm Beach,FL,2,18114,Average,Average
St Mary's Medical Center,West Palm Beach,FL,1,18938,Average,Average
Cleveland Clinic Hospital,Weston,FL,1,17522,Average,Average
Villages Regional Hospital,The Villages,FL,1,17638,Worse,Average
Steward Melbourne Hospital,Melbourne,FL,1,17830,Average,Average
Sacred Heart Hospital On The Emerald Coast,Miramar Beach,FL,5,15897,Average,Lower
Doctors Hospital,Coral Gables,FL,4,18318,Better,Average
Lakewood Ranch Medical Center,Bradenton,FL,3,17199,Average,Average
St Cloud Regional Medical Center,Saint Cloud,FL,1,20949,Average,Higher
St Vincent's Medical Center Southside,Jacksonville,FL,3,18252,Average,Average
Sacred Heart Hospital On The Gulf,Port Saint Joe,FL,5,14070,Average,Lower
West Kendall Baptist Hospital,Miami,FL,3,16210,Better,Lower
Viera Hospital,Melbourne,FL,5,17655,Average,Average
Palm Bay Hospital,Palm Bay,FL,4,17225,Average,Average
Florida Hospital Wesley Chapel,Wesley Chapel,FL,4,19111,Average,Higher
Poinciana Medical Center,Kissimmee,FL,3,17950,Average,Average
St Vincents Medical Center - Clay County,Middleburg,FL,5,18283,Average,Average
Florida Hospital Wauchula,Wauchula,FL,4,18592,Average,Average
Shands Live Oak Regional Medical Center,Live Oak,FL,3,18805,Average,Average
Hendry Regional Medical Center,Clewiston,FL,2,15804,Average,Average
Shands Starke Regional Medical Center,Starke,FL,2,15411,Average,Lower

